GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diaballik-model,diaballik.model,MovePion,83,0,0,0,20,0,3,0,3,0
diaballik-model,diaballik.model,Noob,32,0,2,0,11,0,3,0,2,0
diaballik-model,diaballik.model,AmongUs,155,0,8,0,24,0,8,0,4,0
diaballik-model,diaballik.model,Game,96,0,0,0,25,0,7,0,7,0
diaballik-model,diaballik.model,Board,74,0,10,0,16,0,11,0,6,0
diaballik-model,diaballik.model,IA,16,0,0,0,7,0,3,0,3,0
diaballik-model,diaballik.model,Progressive,4,0,0,0,2,0,2,0,2,0
diaballik-model,diaballik.model,Pawn,489,0,64,0,65,0,55,0,23,0
diaballik-model,diaballik.model,Random,112,0,0,0,14,0,4,0,4,0
diaballik-model,diaballik.model,Standard,60,0,0,0,12,0,4,0,4,0
diaballik-model,diaballik.model,Color,24,0,0,0,3,0,1,0,1,0
diaballik-model,diaballik.model,Ball,3,0,0,0,1,0,1,0,1,0
diaballik-model,diaballik.model,MoveBall,61,0,0,0,16,0,3,0,3,0
diaballik-model,diaballik.model,BoardBuilder,9,0,0,0,3,0,2,0,2,0
diaballik-model,diaballik.model,Player,15,0,0,0,6,0,3,0,3,0
diaballik-model,diaballik.model,Element,9,0,0,0,4,0,2,0,2,0
diaballik-model,diaballik.model,Advanced,4,0,0,0,2,0,2,0,2,0
diaballik-model,diaballik.model,Humain,12,0,0,0,5,0,3,0,3,0
diaballik-model,diaballik.serialization,ColorDeserializer,16,0,0,0,4,0,2,0,2,0
diaballik-model,diaballik.serialization,ColorSerializer,43,0,0,0,9,0,2,0,2,0
diaballik-model,diaballik.serialization,DiabalikJacksonProvider,44,0,0,0,9,0,3,0,3,0
diaballik-model,diaballik.resource,MyExceptionMapper,16,0,2,0,5,0,3,0,2,0
diaballik-model,diaballik,Main,58,0,0,0,16,0,2,0,2,0
